Age,Gender,Year_of_Study,Course,Student_Background,Monthly_Allowance_KES,Accommodation,Distance_From_Campus_KM,Transport_Type,Outings_Per_Month,Gym_Membership,Relationship_Status,Gaming_Hours_Per_Week,Cafeteria_Visits_Per_Month,Ride_Hailing_Trips_Per_Month,Online_Shopping_Orders_Per_Month,Club_Events_Attended,Printing_Frequency,Mobile_Data_Usage_GB,Meal_Habit,Semester_Spending_KES,Spending_Category
25,Male,4,Science,Rural,12311,Off-campus,6.6,Bike,3,1,0,3,29,14,7,5,4,37,Takeout,60845,Medium
24,Female,4,Science,Rural,23449,On-campus,4.7,Car,1,0,0,18,2,8,1,0,6,1,Takeout,58628,Low
20,Male,2,Business,Rural,5768,On-campus,4.8,Bike,1,1,0,15,7,10,3,6,8,3,Cooking,41319,Low
20,Female,3,Business,Urban,10490,Off-campus,10.9,Bike,0,0,1,12,11,11,7,7,6,47,Cooking,68964,High
23,Male,4,Medicine,Rural,20534,On-campus,11.2,Bike,3,0,0,3,0,6,5,1,12,24,Canteen,58229,Low
21,Female,1,Engineering,Urban,11645,On-campus,3.0,Bus,9,1,1,22,9,8,0,7,9,27,Takeout,58460,Low
19,Male,1,Science,Urban,10232,On-campus,13.0,Walk,8,1,0,16,19,11,3,8,9,40,Cooking,77303,High
19,Female,1,Engineering,Urban,16485,On-campus,10.7,Walk,10,0,0,22,2,2,0,5,14,36,Cooking,64739,Medium
22,Male,3,Engineering,Urban,10797,On-campus,8.4,Bike,6,1,0,0,5,14,1,4,2,34,Cooking,62944,Medium
23,Female,3,Medicine,Urban,24719,Off-campus,7.1,Walk,11,1,1,17,6,3,4,8,10,29,Cooking,73451,High
18,Male,1,Science,Urban,17342,On-campus,8.1,Walk,9,1,1,19,19,13,7,8,1,24,Cooking,76735,High
22,Female,4,Science,Rural,13038,On-campus,2.4,Bike,6,0,0,16,22,7,7,0,2,24,Takeout,57317,Low
23,Female,3,Arts,Urban,21002,On-campus,3.1,Bike,6,0,0,14,24,5,2,2,5,42,Takeout,61072,Medium
21,Female,1,Engineering,Rural,18087,On-campus,1.4,Car,7,1,0,10,26,4,3,8,4,4,Takeout,61152,Medium
21,Male,1,Engineering,Rural,9873,Off-campus,2.3,Walk,0,1,1,24,17,12,9,1,4,3,Takeout,53770,Low
21,Female,4,Business,Urban,6481,Off-campus,6.8,Bus,9,1,0,21,10,3,5,3,9,34,Canteen,53918,Low
21,Male,2,Arts,Rural,15093,Off-campus,8.0,Bike,9,0,1,12,18,7,9,3,11,57,Takeout,75182,High
21,Female,3,Business,Rural,24835,Off-campus,0.3,Car,7,0,0,0,4,0,2,1,8,49,Cooking,47236,Low
23,Male,4,Business,Rural,19422,On-campus,12.0,Bus,3,1,0,16,18,13,1,2,6,23,Takeout,74206,High
23,Female,1,Business,Rural,21438,Off-campus,4.4,Walk,3,1,0,5,10,8,5,2,1,53,Canteen,55964,Low
20,Male,1,Medicine,Urban,12643,On-campus,13.7,Car,3,1,0,3,23,0,4,0,2,56,Cooking,68992,High
25,Male,4,Medicine,Rural,24846,On-campus,14.5,Bike,5,1,0,19,11,7,9,5,6,52,Takeout,85808,High
19,Female,3,Business,Urban,20708,On-campus,2.8,Bus,6,1,0,15,9,3,4,7,11,23,Takeout,64498,Medium
24,Male,2,Arts,Rural,16271,On-campus,6.9,Bike,5,1,1,14,7,8,9,2,2,45,Takeout,67230,Medium
21,Male,2,Engineering,Rural,22216,On-campus,0.0,Walk,0,0,0,14,23,13,4,4,13,5,Cooking,54675,Low
18,Female,1,Arts,Urban,17600,Off-campus,9.0,Bus,11,1,1,5,27,10,9,0,10,31,Cooking,71334,High
24,Male,3,Science,Rural,15998,Off-campus,9.1,Walk,7,0,0,14,27,4,4,9,5,53,Canteen,76045,High
23,Male,2,Medicine,Rural,19295,Off-campus,3.7,Walk,9,1,0,13,8,2,2,6,14,41,Cooking,60903,Medium
18,Male,3,Engineering,Rural,15682,Off-campus,8.4,Car,10,1,1,10,3,8,6,9,5,57,Cooking,76099,High
18,Female,3,Engineering,Urban,21380,On-campus,3.4,Bike,6,0,0,6,4,10,5,0,6,57,Takeout,52604,Low
18,Male,1,Science,Rural,13519,Off-campus,2.4,Bus,5,0,1,8,20,13,3,8,6,54,Cooking,69179,High
20,Female,2,Science,Urban,24694,On-campus,9.8,Walk,5,0,1,15,7,13,1,7,14,6,Takeout,76451,High
